# Simulation Parameters
# Box dimensions: 5 x 40 x 5
# Temperature: 0.8
# Total steps: 100000
# Log interval: 200
# Max displacement: 0.125
# Distortions: d1=(0.999995,1.00001,0.999995), d2=(1.000005,0.99999,1.000005)
# Reset sampling at: [40, 10000, 20000]
# Console freq: 50
# Trajectory freq/file: 200/data/vle-0.80-reference_trajectory.xyz

# step   E_pot     acc     w1        avg1      gamma1    w2        avg2      gamma2
 41800    -9.595  0.975  1.000e+00  1.000e+00    -0.013  1.000e+00  1.000e+00    -0.013
 42000   -13.639  0.875  1.000e+00  1.000e+00    -0.013  9.998e-01  1.000e+00    -0.013
 42200   -11.892  0.900  1.000e+00  1.000e+00    -0.013  1.000e+00  1.000e+00    -0.013
 42400   -15.445  0.925  1.000e+00  1.000e+00    -0.012  9.999e-01  1.000e+00    -0.012
 42600   -14.398  0.825  1.000e+00  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 42800   -10.977  0.875  9.999e-01  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 43000   -14.763  0.900  9.998e-01  1.000e+00    -0.011  1.000e+00  1.000e+00    -0.011
 43200   -14.823  0.975  9.997e-01  1.000e+00    -0.011  1.000e+00  1.000e+00    -0.011
 43400   -13.767  0.850  1.000e+00  1.000e+00    -0.010  9.998e-01  1.000e+00    -0.010
 43600   -15.304  0.925  1.000e+00  1.000e+00    -0.010  1.000e+00  1.000e+00    -0.010
 43800   -12.614  0.825  1.000e+00  1.000e+00    -0.010  9.995e-01  1.000e+00    -0.010
 44000   -15.484  0.900  1.000e+00  1.000e+00    -0.009  9.999e-01  1.000e+00    -0.009
 44200   -17.917  0.900  9.999e-01  1.000e+00    -0.009  1.000e+00  1.000e+00    -0.009
 44400   -15.737  0.900  9.999e-01  1.000e+00    -0.009  1.000e+00  1.000e+00    -0.009
 44600   -17.199  0.950  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 44800   -18.426  0.850  1.000e+00  1.000e+00    -0.008  9.998e-01  1.000e+00    -0.008
 45000   -26.269  0.900  1.000e+00  1.000e+00    -0.008  9.999e-01  1.000e+00    -0.008
 45200   -16.537  0.900  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 45400   -16.350  0.875  9.998e-01  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 45600   -14.527  0.900  1.000e+00  1.000e+00    -0.009  1.000e+00  1.000e+00    -0.009
 45800   -14.877  0.950  1.000e+00  1.000e+00    -0.008  9.999e-01  1.000e+00    -0.008
 46000   -15.585  0.950  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 46200    -6.965  0.925  9.998e-01  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 46400   -12.930  0.950  9.998e-01  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 46600   -10.836  0.975  1.000e+00  1.000e+00    -0.008  9.998e-01  1.000e+00    -0.008
 46800    -9.910  0.925  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 47000   -13.036  0.775  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 47200   -14.847  1.000  1.000e+00  1.000e+00    -0.008  9.999e-01  1.000e+00    -0.008
 47400    -9.559  0.975  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 47600   -17.507  0.975  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 47800   -14.834  0.925  9.998e-01  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 48000   -12.591  0.975  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 48200   -13.665  0.900  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 48400   -12.360  0.925  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 48600   -12.318  0.975  9.999e-01  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 48800   -10.141  0.950  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 49000   -12.724  0.875  1.000e+00  1.000e+00    -0.008  9.998e-01  1.000e+00    -0.008
 49200   -13.945  0.850  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 49400    -9.985  0.950  9.998e-01  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 49600    -8.201  0.975  9.999e-01  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 49800    -7.953  0.950  1.000e+00  1.000e+00    -0.008  9.999e-01  1.000e+00    -0.008
 50000   -14.252  0.950  1.000e+00  1.000e+00    -0.008  9.999e-01  1.000e+00    -0.008
 50200   -14.247  0.900  1.000e+00  1.000e+00    -0.009  1.000e+00  1.000e+00    -0.009
 50400   -14.417  0.925  1.000e+00  1.000e+00    -0.009  1.000e+00  1.000e+00    -0.009
 50600   -14.099  0.850  1.000e+00  1.000e+00    -0.009  1.000e+00  1.000e+00    -0.009
 50800    -8.179  0.900  9.998e-01  1.000e+00    -0.009  1.000e+00  1.000e+00    -0.009
 51000    -9.388  0.950  1.000e+00  1.000e+00    -0.009  1.000e+00  1.000e+00    -0.009
 51200   -17.541  0.975  1.000e+00  1.000e+00    -0.009  9.999e-01  1.000e+00    -0.009
 51400   -11.961  0.975  1.000e+00  1.000e+00    -0.009  1.000e+00  1.000e+00    -0.009
